Identifiant produit;ean13
6792;2076970417344
6793;2094527666434
6794;2029763880894
6796;1416258317880
6797;1514665979513
6798;2032143695407
6799;1116138072815
6800;2087249602118
6801;979137531797
6802;2091582387106
6803;2059325065650
6804;2063963309717
6805;2021960172475
6806;2033471268455
6807;2000916831369
6811;4162625116330
6812;2003975204778
6813;2073025740389
6814;2043051072228
6815;2010498254340
6816;658934031715
6817;3413162771133
6818;2094723023512
6820;2040322813856
6821;2057767353854
6822;2004120283501
6823;2096296926856
6827;
6828;
6829;2050678648767
6834;2063767054448
6835;2001142089760
6836;2083497489440
6837;2054409469010
6838;2087752342426
6839;2015771350337
6842;2023014023917
6843;2045971551180
6844;550487647231
6845;2061478328544
6847;2026354653547
6849;2036724722575
6852;4515212793634
6853;2006566667884
6854;2029948627627
6855;2024790806671
6856;2038215006256
6857;2007887283401
6861;2089730717011
6862;2075824461755
6863;2073162125148
6864;2015680338372
6865;2066924124961
6866;2001087692513
6867;2019607191880
6869;2084128123917
6870;361826324719
6871;2011510632252
6872;2033509201737
6873;2009998670453
6874;2097988810668
6875;2021613080492
6876;2010485258078
6877;2052754941816
6878;2031526660018
6879;2094960758253
6880;2060962723131
6881;2010814277794
6886;2050461742337
6887;2080656752537
6888;2093962964730
6889;2043650173371
6890;2067626871283
6891;2031661479933
6892;2035372051457
6894;2078786650311
6895;2037777283310
6897;2062183294575
6898;2049274918435
6899;2084694371378
6900;2038370541005
6901;2041536664647
6902;2037890021684
6905;2014239096466
6906;2075140672316
6908;2027493728233
6910;2082623636291
6911;2017092969168
6912;2074127940127
6913;2091341154789
6914;2078314531730
6915;2014857335169
6917;2093324671948
6918;
6919;
6920;2027395562706
6921;2094423983802
6922;2068715343957
6923;2078569920105
6925;2039036611230
6926;2005322644480
6928;2052390651179
6929;2077035302353
6931;2001659308873
6932;2025644487893
6933;2004072162381
6934;2004954383903
6935;2019779455971
6936;2099829518511
6937;2018674584670
6938;2030783587915
6939;2024758476892
6941;2038602832734
6942;2025610177841
6943;2074194642832
6944;2017243356755
6945;2085794855348
6954;2075274140132
