id,nom,reference,image,ean13,categorie,prix_ht,prix_ttc,stock,remisable,declinaisons
5897,FLUTE VILLAGE RAMATUELLE,94,,2076462454321,VERRE,5.42,6.50,-2,true,
5898,FLUTE VILLAGE LA CROIX,95,,2015634993343,VERRE,5.42,6.50,0,true,
5899,FLUTE UNI,97,,2010622388941,VERRE,5.42,6.50,18,true,
5900,FLUTE NOEL,FLU8,,2027375821014,VERRE,5.42,6.50,18,true,
5901,FLUTE CLEAR TROPEZ,98,,2054019570946,VERRE,5.42,6.50,-12,true,
5902,FLUTE CLEAR UNI,99,,2085821873024,VERRE,5.42,6.50,0,true,
5903,FLUTE NOIR TROPEZ,FLU1,,2082776108249,VERRE,5.42,6.50,0,true,
5904,FLUTE NOIR MAXIME,FLU2,,2004061333358,VERRE,5.42,6.50,0,true,
5905,FLUTE NOIR PORT GRIMAUD,FLU3,,2087953734303,VERRE,5.42,6.50,0,true,
5906,FLUTE NOIR CAVALAIRE,FLU4,,2081686588318,VERRE,5.42,6.50,0,true,
5907,FLUTE NOIR RAMATUELLE,FLU5,,2094954368277,VERRE,5.42,6.50,0,true,
5908,FLUTE NOIR LA CROIX,FLU6,,2041517526292,VERRE,5.42,6.50,0,true,
5909,FLUTE NOIR NOEL,FLU7,,2012312267321,VERRE,5.42,6.50,18,true,
5910,FLUTE NOIR UNI,FLU9,,2032159202248,VERRE,5.42,6.50,0,true,
5911,TASSE CAFE TROPEZ,120,,2095778852300,VERRE,5.42,6.50,38,true,
5912,TASSE CAFE MAXIME,121,,2018748237907,VERRE,5.42,6.50,13,true,
5913,TASSE CAFE PORT GRIMAUD,122,,2017152198934,VERRE,5.42,6.50,1,true,
5914,TASSE CAFE CAVALAIRE,123,,2062368071212,VERRE,5.42,6.50,19,true,
5915,TASSE CAFE LA CROIX,124,,2032027237709,VERRE,5.42,6.50,8,true,
5916,TASSE CAFE RAMATUELLE,125,,2052450904795,VERRE,5.42,6.50,9,true,
5917,TASSE UNI,126,,2033768258237,VERRE,5.42,6.50,0,true,
5918,TASSE CAFE CLEAR TROPEZ,130,,2077860899325,VERRE,5.42,6.50,22,true,
5919,TASSE CAFE CLEAR MAXIME,131,,2096552747546,VERRE,5.42,6.50,28,true,
5920,TASSE CAFE CLEAR PORT GRIMAUD,132,,2024796689964,VERRE,5.42,6.50,20,true,
5921,TASSE CAFE CLEAR CAVALAIRE,133,,2025712652925,VERRE,5.42,6.50,14,true,
5922,TASSE CAFE CLEAR RAMATUELLE,134,,2072771828709,VERRE,5.42,6.50,10,true,
5923,TASSE CAFE CLEAR LA CROIX,135,,2096060858192,VERRE,5.42,6.50,14,true,
5924,TASSE CLEAR UNI,136,,2042742549568,VERRE,5.42,6.50,0,true,
5925,SHOOTER TROPEZ,150,,2057737407495,VERRE,3.33,4.00,34,true,
5926,SHOOTER MAXIME,151,,2089852902395,VERRE,3.33,4.00,32,true,
5927,SHOOTER PORT GRIMAUD,152,,2004312016597,VERRE,3.33,4.00,35,true,
5928,SHOOTER CAVALAIRE,153,,2034813018196,VERRE,3.33,4.00,40,true,
5929,SHOOTER LA CROIX,154,,2078913651723,VERRE,3.33,4.00,47,true,
5930,SHOOTER RAMATUELLE,155,,2008456872507,VERRE,3.33,4.00,40,true,
5931,SHOOTER UNI,156,,2039324454099,VERRE,3.33,4.00,4,true,
5932,SHOOTER CLEAR TROPEZ,170,,2092743541832,VERRE,3.33,4.00,29,true,
5933,REGLE SHOT,180,,2023633771633,VERRE,16.67,20.00,2,true,
5934,COCKTAIL TROPEZ,190,,2098099207897,VERRE,5.42,6.50,23,true,
5935,COCKTAIL MAXIME,191,,2053543558857,VERRE,5.42,6.50,35,true,
5936,COCKTAIL PORT GRIMAUD,192,,2094577940966,VERRE,5.42,6.50,26,true,
5937,COCKTAIL CAVALAIRE,193,,2020533699708,VERRE,5.42,6.50,14,true,
5938,COCKTAIL RAMATUELLE,194,,2043770628430,VERRE,5.42,6.50,35,true,
5939,COCKTAIL LA CROIX,195,,2002156232135,VERRE,5.42,6.50,18,true,
5940,COCKTAIL UNI,196,,2046944251861,VERRE,5.42,6.50,14,true,
5941,COCKTAIL CLEAR TROPEZ,210,,2051595969782,VERRE,5.42,6.50,0,true,
5942,COCKTAIL CLEAR RAMATUELLE,211,,2011506007040,VERRE,5.42,6.50,0,true,
5943,MUG TROPEZ,220,,2095589444169,VERRE,5.42,6.50,5,true,
5944,MUG MAXIME,221,,2027955151234,VERRE,5.42,6.50,16,true,
5945,MUG PORT GRIMAUD,222,,2011539792999,VERRE,5.42,6.50,3,true,
5946,MUG CAVALAIRE,223,,2060607581010,VERRE,5.42,6.50,8,true,
5947,MUG RAMATUELLE,224,,2040039088561,VERRE,5.42,6.50,6,true,
5948,MUG LA CROIX,225,,2089927487512,VERRE,5.42,6.50,12,true,
5949,MUG UNI,226,,2057362941647,VERRE,5.42,6.50,0,true, 
