
﻿Liste des attributs	Nom du produit	Identifiant produit	Identifiant déclinaison	ean13 décl.	Prix d'achat HT	 Impact sur prix de vente (HT/TTC suivant PS version) 	 Impact sur prix de vente TTC 	 Prix de vente déclinaison HT avant remises 	 Prix de vente déclinaison TTC avant remises 	Montant de remise
L	TEE SHIRT PANNEAU MAXIME	6822	2231	2075292203321				12,50 €	15,00 €	
XXXL	TEE SHIRT PANNEAU MAXIME	6822	2234	2052540456296				12,50 €	15,00 €	
XXL	TEE SHIRT PANNEAU MAXIME	6822	2233	2033003134845				12,50 €	15,00 €	
S	DEBARDEUR BEIGE	6827	2409	2015173422854				20,83 €	25,00 €	
XXS	DEBARDEUR BEIGE	6827	2407	2085949043040				20,83 €	25,00 €	
XS	DEBARDEUR BEIGE	6827	2408	2005231933699				20,83 €	25,00 €	
XXXL	DEBARDEUR BEIGE	6827	2414	2037617071107				20,83 €	25,00 €	
M	DEBARDEUR BEIGE	6827	2410	2017130663522				20,83 €	25,00 €	
XL	DEBARDEUR BEIGE	6827	2412	2042739981760				20,83 €	25,00 €	
L	DEBARDEUR BEIGE	6827	2411	2075589420721				20,83 €	25,00 €	
XXL	DEBARDEUR BEIGE	6827	2413	2035809217081				20,83 €	25,00 €	
M	DEBARDEUR NOIR	6828	2417	2090949780031				20,83 €	25,00 €	
XS	DEBARDEUR NOIR	6828	2415	2033589864532				20,83 €	25,00 €	
S	DEBARDEUR NOIR	6828	2416	2035105436360				20,83 €	25,00 €	
XL	DEBARDEUR NOIR	6828	2419	2033117653416				20,83 €	25,00 €	
L	DEBARDEUR NOIR	6828	2418	2054736642926				20,83 €	25,00 €	
XXXL	DEBARDEUR NOIR	6828	2421	2061832987219				20,83 €	25,00 €	
XXL	DEBARDEUR NOIR	6828	2420	2090079486582				20,83 €	25,00 €	
XXS	DEBARDEUR NOIR	6828	2422	2066723696447				20,83 €	25,00 €	
BLEU	SAC POLOCHON	6918	2624	2093661470693				16,67 €	20,00 €	
NOIR	SAC POLOCHON	6918	2623	2025130426542				16,67 €	20,00 €	
BEIGE	SAC POLOCHON	6918	2622	2027682007798				16,67 €	20,00 €	
GRIS FONCE	BONNET LAINE B	6919	2629	2093803105377				16,67 €	20,00 €	
ARGENT	BONNET LAINE B	6919	2628	2087270117629				16,67 €	20,00 €	
BEIGE	BONNET LAINE B	6919	2631	2083496419363				16,67 €	20,00 €	
VERT	BONNET LAINE B	6919	2630	2057583257763				16,67 €	20,00 €	
NOIR	BONNET LAINE B	6919	2632	2027792148961				16,67 €	20,00 €	
MANDALA	SERVIETTE RONDE B	6925	2633	2094324535957				16,67 €	20,00 €	
ETOILE	SERVIETTE RONDE B	6925	2634	2067349023235				16,67 €	20,00 €	
UNIE	SERVIETTE RONDE B	6925	2635	2048875740261				16,67 €	20,00 €	
UNIE	SERVIETTE RECTANGLE B	6926	2638	2007988039518				16,67 €	20,00 €	
ETOILE	SERVIETTE RECTANGLE B	6926	2637	2049537053545				16,67 €	20,00 €	
	Carte KDO 25€	6984	3035					25,00 €	25,00 €	
BLEU	PORTE CLEF  BRELOQUES COULEUR	7076	2778	2024389327471				6,67 €	8,00 €	
MAUVE	PORTE CLEF  BRELOQUES COULEUR	7076	2780	2044770612047				6,67 €	8,00 €	
ROUGE	PORTE CLEF  BRELOQUES COULEUR	7076	2779	2016234856359				6,67 €	8,00 €	
VERT	PORTE CLEF  BRELOQUES COULEUR	7076	2781	2098813570245				6,67 €	8,00 €	
S	TEE SHIRT HOMME TERRACOTA	7111	2805	2345678901234				20,83 €	25,00 €	
M	TEE SHIRT HOMME TERRACOTA	7111	2806	2439173828261				20,83 €	25,00 €	
XL	TEE SHIRT HOMME TERRACOTA	7111	2808	2652142893255				20,83 €	25,00 €	
L	TEE SHIRT HOMME TERRACOTA	7111	2807	2447160423740				20,83 €	25,00 €	
XL	SWEAT WHITE	7130	2820	2127671193461				49,17 €	59,00 €	
S	SWEAT WHITE	7130	2817	1984802894632				49,17 €	59,00 €	
M	SWEAT WHITE	7130	2818	2044213345686				49,17 €	59,00 €	
L	SWEAT WHITE	7130	2819	2074772833591				49,17 €	59,00 €	
XL	SWEAT BLUE	7131	2823	3322819951555				49,17 €	59,00 €	
L	SWEAT BLUE	7131	2822	3202896893446				49,17 €	59,00 €	
M	SWEAT BLUE	7131	2821	3180765472520				49,17 €	59,00 €	
S	SWEAT BLUE	7131	2824	3165102397674				49,17 €	59,00 €	
S	TEE SHIRT HOMME DEGRADE BLEU	7132	2825	2658693756414				20,83 €	25,00 €	
L	TEE SHIRT HOMME DEGRADE BLEU	7132	2827	3105081104368				20,83 €	25,00 €	
M	TEE SHIRT HOMME DEGRADE BLEU	7132	2826	3084271575396				20,83 €	25,00 €	
XL	TEE SHIRT HOMME DEGRADE BLEU	7132	2828	3130540881702				20,83 €	25,00 €	
BLEU	PORTE CLEF  COEUR METAL MOVE CANNES	7164	2853	1234568911280				8,33 €	10,00 €	
ROSE	PORTE CLEF  COEUR METAL MOVE CANNES	7164	2852	173258714217				8,33 €	10,00 €	
MAUVE	PORTE CLEF  COEUR METAL MOVE CANNES	7164	2851	1295873465219				8,33 €	10,00 €	
ROSE	MUG CERAMIQUE + CUILLERE	7403	3246					11,67 €	14,00 €	
BLEU	MUG CERAMIQUE + CUILLERE	7403	3247					11,67 €	14,00 €	
BEIGE	MUG CERAMIQUE + CUILLERE	7403	3248					11,67 €	14,00 €	
	RECHARGE COMPTE CLENT	7546	3041					100,00 €	100,00 €	
OR ROSE	CALICE METALISE	7678	3052	2061199600233				10,00 €	12,00 €	
OR	CALICE METALISE	7678	3047	2002951062142				10,00 €	12,00 €	
VIOLET	CALICE METALISE	7678	3055	2084746282720				10,00 €	12,00 €	
SILVER	CALICE METALISE	7678	3053	2064378345215				10,00 €	12,00 €	
PINK	CALICE METALISE	7678	3054	2007771244020				10,00 €	12,00 €	
BLEU	CALICE METALISE	7678	3334	2073828385992				10,00 €	12,00 €	
S	POCHETTE  CADEAU RETIF GRISE	7698	3071	2086635136138				0,10 €	0,12 €	
M	POCHETTE  CADEAU RETIF GRISE	7698	3072	2088895026174				0,10 €	0,12 €	
L	POCHETTE  CADEAU RETIF GRISE	7698	3073	2015495702047				0,10 €	0,12 €	
XL	POCHETTE  CADEAU RETIF GRISE	7698	3074	2093456537693				0,10 €	0,12 €	
XS	POCHETTE  CADEAU RETIF GRISE	7698	3075	2017805446139				0,10 €	0,12 €	
XXS	SWEAT BLUE NEW 2025 ZIP	7742	3098	2050556808887				51,67 €	62,00 €	
XS	SWEAT BLUE NEW 2025 ZIP	7742	3099	2075852663374				51,67 €	62,00 €	
S	SWEAT BLUE NEW 2025 ZIP	7742	3100	2061838298593				51,67 €	62,00 €	
M	SWEAT BLUE NEW 2025 ZIP	7742	3101	2031750878012				51,67 €	62,00 €	
XL	SWEAT BLUE NEW 2025 ZIP	7742	3103	2065242096936				51,67 €	62,00 €	
L	SWEAT BLUE NEW 2025 ZIP	7742	3102	2058076750952				51,67 €	62,00 €	
XXS	SWEAT TAUPE NEW 2025 NO ZIP	7743	3134	2042412122671				49,17 €	59,00 €	
XS	SWEAT TAUPE NEW 2025 NO ZIP	7743	3135	2036518912083				49,17 €	59,00 €	
M	SWEAT TAUPE NEW 2025 NO ZIP	7743	3137	2072910624810				49,17 €	59,00 €	
S	SWEAT TAUPE NEW 2025 NO ZIP	7743	3136	2077038245589				49,17 €	59,00 €	
XL	SWEAT TAUPE NEW 2025 NO ZIP	7743	3139	2082462347549				49,17 €	59,00 €	
L	SWEAT TAUPE NEW 2025 NO ZIP	7743	3138	2065540458863				49,17 €	59,00 €	
S	TEE SHIRT MIXTE TAUPE ST	7744	3116	2067491663693				20,83 €	25,00 €	
L	TEE SHIRT MIXTE TAUPE ST	7744	3118	2015982340202				20,83 €	25,00 €	
M	TEE SHIRT MIXTE TAUPE ST	7744	3117	2061027663713				20,83 €	25,00 €	
XL	TEE SHIRT MIXTE TAUPE ST	7744	3119	2012544387965				20,83 €	25,00 €	
S	TEE SHIRT MIXTE BLEU	7745	3123					20,83 €	25,00 €	
XL	TEE SHIRT MIXTE BLEU	7745	3122					20,83 €	25,00 €	
L	TEE SHIRT MIXTE BLEU	7745	3121					20,83 €	25,00 €	
M	TEE SHIRT MIXTE BLEU	7745	3120					20,83 €	25,00 €	
ROUGE	PORTE CLEF HARIBO	7818	3153	2032833485318				5,00 €	6,00 €	
ROSE	PORTE CLEF HARIBO	7818	3152	2032426160271				5,00 €	6,00 €	
XXS	copy of SWEAT BLUE	7824	3165					49,17 €	59,00 €	
XS	copy of SWEAT BLUE	7824	3166					49,17 €	59,00 €	
S	copy of SWEAT BLUE	7824	3167					49,17 €	59,00 €	
XL	copy of SWEAT BLUE	7824	3170					49,17 €	59,00 €	
M	copy of SWEAT BLUE	7824	3168					49,17 €	59,00 €	
XXL	copy of SWEAT BLUE	7824	3171					49,17 €	59,00 €	
L	copy of SWEAT BLUE	7824	3169					49,17 €	59,00 €	
XXXL	copy of SWEAT BLUE	7824	3172					49,17 €	59,00 €	
MAUVE	PORTE CLEF  COEUR METAL MOVE TROPEZ	7833	3201					8,33 €	10,00 €	
BLEU	PORTE CLEF  COEUR METAL MOVE TROPEZ	7833	3200		2,95			8,33 €	10,00 €	
ROSE	PORTE CLEF  COEUR METAL MOVE TROPEZ	7833	3199					8,33 €	10,00 €	
ORANGE	PORTE CLEF  COEUR METAL MOVE TROPEZ	7833	3198					8,33 €	10,00 €	
