
﻿Liste des attributs	Nom du produit	Identifiant produit	Identifiant déclinaison	ean13 décl.	Prix d'achat HT	 Impact sur prix de vente (HT/TTC suivant PS version) 	 Impact sur prix de vente TTC 	 Prix de vente déclinaison HT avant remises 	 Prix de vente déclinaison TTC avant remises 	Montant de remise
XS	TEE SHIRT HOMME GRIS LOGO NIKE BLEU	6418	2361	2069057415692				20,83 €	25,00 €	
XXXL	TEE SHIRT HOMME GRIS LOGO NIKE BLEU	6418	2367	2020825516409				20,83 €	25,00 €	
M	TEE SHIRT HOMME GRIS LOGO NIKE BLEU	6418	2363	2090878618443				20,83 €	25,00 €	
L	TEE SHIRT HOMME GRIS LOGO NIKE BLEU	6418	2364	2015078755262				20,83 €	25,00 €	
XXL	TEE SHIRT HOMME GRIS LOGO NIKE BLEU	6418	2366	2045927264454				20,83 €	25,00 €	
XL	TEE SHIRT HOMME GRIS LOGO NIKE BLEU	6418	2365	2073990634973				20,83 €	25,00 €	
M	TEE SHIRT HOMME BEIGE LOGO STEM	6419	2371	2153146808653				20,83 €	25,00 €	
XS	TEE SHIRT HOMME BEIGE LOGO STEM	6419	2369					20,83 €	25,00 €	
S	TEE SHIRT HOMME BEIGE LOGO STEM	6419	2370	2145475766919				20,83 €	25,00 €	
XXS	TEE SHIRT HOMME BEIGE LOGO STEM	6419	2368					20,83 €	25,00 €	
XL	TEE SHIRT HOMME BEIGE LOGO STEM	6419	2373					20,83 €	25,00 €	
L	TEE SHIRT HOMME BEIGE LOGO STEM	6419	2372					20,83 €	25,00 €	
XXXL	TEE SHIRT HOMME BEIGE LOGO STEM	6419	2375					20,83 €	25,00 €	
XXL	TEE SHIRT HOMME BEIGE LOGO STEM	6419	2374					20,83 €	25,00 €	
XS	TEE SHIRT HOMME BLEU	6420	2377					20,83 €	25,00 €	
S	TEE SHIRT HOMME BLEU	6420	2378	2190379822810				20,83 €	25,00 €	
M	TEE SHIRT HOMME BLEU	6420	2379	2195788811240				20,83 €	25,00 €	
L	TEE SHIRT HOMME BLEU	6420	2380	2219862681199				20,83 €	25,00 €	
XXL	TEE SHIRT HOMME BLEU	6420	2382					20,83 €	25,00 €	
XL	TEE SHIRT HOMME BLEU	6420	2381	2273244948881				20,83 €	25,00 €	
XXS	TEE SHIRT PANNEAU TROPEZ	6422	2219	1651669513180				20,83 €	25,00 €	
XS	TEE SHIRT PANNEAU TROPEZ	6422	2220	1652273217631				20,83 €	25,00 €	
S	TEE SHIRT PANNEAU TROPEZ	6422	2221	1684285397919				20,83 €	25,00 €	
M	TEE SHIRT PANNEAU TROPEZ	6422	2222	1725967465240				20,83 €	25,00 €	
XL	TEE SHIRT PANNEAU TROPEZ	6422	2224	2083054749246				20,83 €	25,00 €	
XXXL	TEE SHIRT PANNEAU TROPEZ	6422	2226	2058478937869				20,83 €	25,00 €	
L	TEE SHIRT PANNEAU TROPEZ	6422	2223	1754577622323				20,83 €	25,00 €	
16 ANS	TEE SHIRT PANNEAU TROPEZ	6422	2810	1613608627976				20,83 €	25,00 €	
XXL	TEE SHIRT PANNEAU TROPEZ	6422	2225	2083061187703				20,83 €	25,00 €	
1	WIND PROOF FUSHIA	6428	1800	2012272192206	18,4			32,50 €	39,00 €	
2	WIND PROOF FUSHIA	6428	1801	2042419082831	18,4			32,50 €	39,00 €	
3	WIND PROOF FUSHIA	6428	1802	2024620618559	18,4			32,50 €	39,00 €	
5	WIND PROOF FUSHIA	6428	1804	2058504633109	18,4			32,50 €	39,00 €	
4	WIND PROOF FUSHIA	6428	1803	2040834604270	18,4			32,50 €	39,00 €	
2	WIND PROOF BLEU	6429	1806	2001721308268	18,4			32,50 €	39,00 €	
1	WIND PROOF BLEU	6429	1805	2079766058851	18,4			32,50 €	39,00 €	
4	WIND PROOF BLEU	6429	1808	2064527758286	18,4			32,50 €	39,00 €	
3	WIND PROOF BLEU	6429	1807	2001794612262	18,4			32,50 €	39,00 €	
5	WIND PROOF BLEU	6429	1809	2022231002910	18,4			32,50 €	39,00 €	
