product_id,variation_id,nom,ean13,reference,impact_prix_ht,impact_prix_ttc,stock
6728,2014,"NOIR,STRASS GRANDE LETTRE,NOIR,STRASS GRANDE LETTRE",2053669535152,,0.00,0.00,1
6728,2025,"BLEU CIEL,LETTRE METAL,BLEU CIEL,LETTRE METAL",2021220421695,,0.00,0.00,0
6728,2027,"ROSE,LETTRE METAL,ROSE,LETTRE METAL",2012173497905,,0.00,0.00,0
6728,2026,"BLEU ROI,LETTRE METAL,BLEU ROI,LETTRE METAL",2068922210240,,0.00,0.00,0
6728,2019,"NOIR,STRASS PETITE LETTRE,NOIR,STRASS PETITE LETTRE",2012959845722,,0.00,0.00,6
6822,2229,"S",2046368734582,,0.00,0.00,0
6822,2227,"XXS",2092199923442,,0.00,0.00,0
6822,2228,"XS",2028727984616,,0.00,0.00,0
6822,2231,"L",2075292203321,,0.00,0.00,0
6822,2232,"XL",2044187786737,,0.00,0.00,0
6822,2230,"M",2081228026827,,0.00,0.00,0
6822,2234,"XXXL",2052540456296,,0.00,0.00,0
6822,2233,"XXL",2033003134845,,0.00,0.00,0
6827,2409,"S",2015173422854,,0.00,0.00,1
6827,2407,"XXS",2085949043040,,0.00,0.00,0
6827,2408,"XS",2005231933699,,0.00,0.00,4
6827,2413,"XXL",2035809217081,,0.00,0.00,9
6827,2410,"M",2017130663522,,0.00,0.00,-4
6827,2412,"XL",2042739981760,,0.00,0.00,1
6827,2411,"L",2075589420721,,0.00,0.00,0
6827,2414,"XXXL",2037617071107,,0.00,0.00,0
6828,2415,"XS",2033589864532,,0.00,0.00,1
6828,2416,"S",2035105436360,,0.00,0.00,1
6828,2417,"M",2090949780031,,0.00,0.00,3
6828,2420,"XXL",2090079486582,,0.00,0.00,0
6828,2418,"L",2054736642926,,0.00,0.00,0
6828,2421,"XXXL",2061832987219,,0.00,0.00,0
6828,2419,"XL",2033117653416,,0.00,0.00,0
6828,2422,"XXS",2066723696447,,0.00,0.00,0
6918,2623,"NOIR",2025130426542,,0.00,0.00,0
6918,2622,"BEIGE",2027682007798,,0.00,0.00,0
6918,2624,"BLEU",2093661470693,,0.00,0.00,1
6919,2629,"GRIS FONCE",2093803105377,,0.00,0.00,2
6919,2628,"ARGENT",2087270117629,,0.00,0.00,2
6919,2631,"BEIGE",2083496419363,,0.00,0.00,0
6919,2630,"VERT",2057583257763,,0.00,0.00,1
6919,2632,"NOIR",2027792148961,,0.00,0.00,2
6925,2633,"MANDALA",2094324535957,,0.00,0.00,0
6925,2635,"UNIE",2048875740261,,0.00,0.00,0
6925,2634,"ETOILE",2067349023235,,0.00,0.00,0
6926,2638,"UNIE",2007988039518,,0.00,0.00,0
6926,2637,"ETOILE",2049537053545,,0.00,0.00,0
7076,2781,"VERT",2098813570245,,0.00,0.00,-4
7076,2780,"MAUVE",2044770612047,,0.00,0.00,0
7076,2779,"ROUGE",2016234856359,,0.00,0.00,6
7076,2778,"BLEU",2024389327471,,0.00,0.00,0
7111,2805,"S",2345678901234,2676S,0.00,0.00,6
7111,2807,"L",2447160423740,2676L,0.00,0.00,9
7111,2806,"M",2439173828261,2676M,0.00,0.00,15
7111,2808,"XL",2652142893255,2676XL,0.00,0.00,4
7130,2819,"L",2074772833591,,0.00,0.00,8
7130,2818,"M",2044213345686,,0.00,0.00,5
7130,2817,"S",1984802894632,,0.00,0.00,3
7130,2820,"XL",2127671193461,,0.00,0.00,1
7131,2821,"M",3180765472520,,0.00,0.00,0
7131,2824,"S",3165102397674,,0.00,0.00,0
7131,2822,"L",3202896893446,,0.00,0.00,0
7131,2823,"XL",3322819951555,,0.00,0.00,0
7132,2825,"S",2658693756414,,0.00,0.00,2
7132,2826,"M",3084271575396,,0.00,0.00,2
7132,2827,"L",3105081104368,,0.00,0.00,0
7132,2828,"XL",3130540881702,,0.00,0.00,1
7164,2853,"BLEU",1234568911280,,0.00,0.00,-1
7164,2852,"ROSE",173258714217,,0.00,0.00,-1
7164,2851,"MAUVE",1295873465219,,0.00,0.00,-1
7403,3246,"ROSE",,,0.00,0.00,-1
7403,3247,"BLEU",,,0.00,0.00,-4
7403,3248,"BEIGE",,,0.00,0.00,-2
7546,3041,"",,,0.00,0.00,0
7678,3052,"OR ROSE",2061199600233,,0.00,0.00,34
7678,3047,"OR",2002951062142,,0.00,0.00,-10
7678,3334,"BLEU",2073828385992,,0.00,0.00,19
7678,3053,"SILVER",2064378345215,,0.00,0.00,20
7678,3054,"PINK",2007771244020,,0.00,0.00,-6
7678,3055,"VIOLET",2084746282720,,0.00,0.00,8
7698,3071,"S",2086635136138,,0.00,0.00,100
7698,3072,"M",2088895026174,,0.00,0.00,250
7698,3073,"L",2015495702047,,0.00,0.00,250
7698,3074,"XL",2093456537693,,0.00,0.00,50
7698,3075,"XS",2017805446139,,0.00,0.00,100
7742,3098,"XXS",2050556808887,,0.00,0.00,1
7742,3099,"XS",2075852663374,,0.00,0.00,3
7742,3100,"S",2061838298593,,0.00,0.00,0
7742,3101,"M",2031750878012,,0.00,0.00,0
7742,3103,"XL",2065242096936,,0.00,0.00,1
7742,3102,"L",2058076750952,,0.00,0.00,0
7743,3134,"XXS",2042412122671,,0.00,0.00,2
7743,3135,"XS",2036518912083,,0.00,0.00,2
7743,3137,"M",2072910624810,,0.00,0.00,1
7743,3136,"S",2077038245589,,0.00,0.00,1
7743,3139,"XL",2082462347549,,0.00,0.00,0
7743,3138,"L",2065540458863,,0.00,0.00,1
7744,3116,"S",2067491663693,,0.00,0.00,6
7744,3118,"L",2015982340202,,0.00,0.00,0
7744,3117,"M",2061027663713,,0.00,0.00,5
7744,3119,"XL",2012544387965,,0.00,0.00,11
7745,3123,"S",,,0.00,0.00,7
7745,3122,"XL",,,0.00,0.00,16
7745,3121,"L",,,0.00,0.00,16
7745,3120,"M",,,0.00,0.00,23
7818,3153,"ROUGE",2032833485318,,0.00,0.00,29
7818,3152,"ROSE",2032426160271,,0.00,0.00,11
7824,3165,"XXS",,,0.00,0.00,0
7824,3166,"XS",,,0.00,0.00,0
7824,3167,"S",,,0.00,0.00,0
7824,3170,"XL",,,0.00,0.00,0
7824,3168,"M",,,0.00,0.00,0
7824,3171,"XXL",,,0.00,0.00,0
7824,3169,"L",,,0.00,0.00,0
7824,3172,"XXXL",,,0.00,0.00,0
7833,3201,"MAUVE",,,0.00,0.00,13
7833,3200,"BLEU",,,0.00,0.00,30
7833,3199,"ROSE",,,0.00,0.00,25
7833,3198,"ORANGE",,,0.00,0.00,29
