id,nom,reference,image,ean13,categorie,prix_ht,prix_ttc,stock,remisable,article_remisable,declinaisons
5925,"SHOOTER TROPEZ",150,,2057737407495,VERRE,3.33,4.00,34,true,true,"[]"
5926,"SHOOTER MAXIME",151,,2089852902395,VERRE,3.33,4.00,32,true,true,"[]"
5927,"SHOOTER PORT GRIMAUD",152,,2004312016597,VERRE,3.33,4.00,35,true,true,"[]"
5928,"SHOOTER CAVALAIRE",153,,2034813018196,VERRE,3.33,4.00,40,true,true,"[]"
5929,"SHOOTER LA CROIX",154,,2078913651723,VERRE,3.33,4.00,47,true,true,"[]"
5930,"SHOOTER RAMATUELLE",155,,2008456872507,VERRE,3.33,4.00,40,true,true,"[]"
5931,"SHOOTER UNI",156,,2039324454099,VERRE,3.33,4.00,4,true,true,"[]"
5932,"SHOOTER CLEAR TROPEZ",170,,2092743541832,VERRE,3.33,4.00,29,true,true,"[]"
5933,"REGLE SHOT",180,,2023633771633,VERRE,16.67,20.00,2,true,true,"[]"
5934,"COCKTAIL TROPEZ",190,,2098099207897,VERRE,5.42,6.50,23,true,true,"[]"
5935,"COCKTAIL MAXIME",191,,2053543558857,VERRE,5.42,6.50,35,true,true,"[]"
5936,"COCKTAIL PORT GRIMAUD",192,,2094577940966,VERRE,5.42,6.50,26,true,true,"[]"
5937,"COCKTAIL CAVALAIRE",193,,2020533699708,VERRE,5.42,6.50,14,true,true,"[]"
5938,"COCKTAIL RAMATUELLE",194,,2043770628430,VERRE,5.42,6.50,35,true,true,"[]"
5939,"COCKTAIL LA CROIX",195,,2002156232135,VERRE,5.42,6.50,18,true,true,"[]"
5940,"COCKTAIL UNI",196,,2046944251861,VERRE,5.42,6.50,14,true,true,"[]"
5941,"COCKTAIL CLEAR TROPEZ",210,,2051595969782,VERRE,5.42,6.50,0,true,true,"[]"
5942,"COCKTAIL CLEAR RAMATUELLE",211,,2011506007040,VERRE,5.42,6.50,0,true,true,"[]"
5943,"MUG TROPEZ",220,,2095589444169,VERRE,5.42,6.50,5,true,true,"[]"
5944,"MUG MAXIME",221,,2027955151234,VERRE,5.42,6.50,16,true,true,"[]"
5945,"MUG PORT GRIMAUD",222,,2011539792999,VERRE,5.42,6.50,3,true,true,"[]"
5946,"MUG CAVALAIRE",223,,2060607581010,VERRE,5.42,6.50,8,true,true,"[]"
5947,"MUG RAMATUELLE",224,,2040039088561,VERRE,5.42,6.50,6,true,true,"[]"
5948,"MUG LA CROIX",225,,2089927487512,VERRE,5.42,6.50,12,true,true,"[]"
5949,"MUG UNI",226,,2057362941647,VERRE,5.42,6.50,0,true,true,"[]"
5950,"MUG CLEAR TROPEZ",240,,2069762301525,VERRE,5.42,6.50,0,true,true,"[]"
5951,"FLUTE CROISIERE TROPEZ",250,,2039660270223,VERRE,7.08,8.50,34,true,true,"[]"
5952,"FLUTE CROISIERE UNI",252,,2057843202557,VERRE,7.08,8.50,32,true,true,"[]"
5953,"FLUTE CROISIERE CLEAR TROPEZ",253,,2058146616423,VERRE,7.08,8.50,35,true,true,"[]"
5954,"FLUTE CROISIERE CLEAR UNI",254,,2088369255161,VERRE,7.08,8.50,0,true,true,"[]"
5955,"AIR BEACH G&T TROPEZ",270,,2007117863564,VERRE,8.33,10.00,33,true,true,"[]"
5956,"AIR BEACH G&T  UNI",271,,2031342681815,VERRE,8.33,10.00,42,true,true,"[]"
5957,"AIR BEACH G&T CLEAR TROPEZ",280,,2095513267659,VERRE,8.33,10.00,128,true,true,"[]"
5958,"AIR BEACH G&T CLEAR UNI",281,,2019879283993,VERRE,8.33,10.00,-6,true,true,"[]"
5959,"TUBE TROPEZ",290,,2000207228045,VERRE,5.42,6.50,23,true,true,"[]"
5960,"TUBE MAXIME",291,,2090290502795,VERRE,5.42,6.50,34,true,true,"[]"
5961,"TUBE PORT GRIMAUD",292,,2000802296890,VERRE,5.42,6.50,28,true,true,"[]"
5962,"TUBE CAVALAIRE",293,,2004959700835,VERRE,5.42,6.50,33,true,true,"[]"
5963,"BREW BEACH CLEAR",300,,2093465701696,VERRE,5.42,6.50,0,true,true,"[]"
5964,"TUBE LONG DRINK TROPEZ CLEAR",310,,2031369424297,VERRE,5.42,6.50,22,true,true,"[]"
5965,"CALICE BLONDE",320,,2022856615960,VERRE,7.08,8.50,0,true,true,"[]"
5966,"CALICE CLEAR BLONDE",321,,2035359826184,VERRE,5.42,6.50,-1,true,true,"[]"
5967,"CALICE NOIR BLONDE",322,,2020692523388,VERRE,7.08,8.50,0,true,true,"[]"
5968,"WHISKY CLEAR TROPEZ",330,,2017574079408,VERRE,8.33,10.00,24,true,true,"[]"
5969,"WHISKY CLEAR UNI",331,,2068628113784,VERRE,8.33,10.00,-12,true,true,"[]"
5970,"BR BIERE TROPEZ",340,,2089602160891,VERRE,5.42,6.50,-1,true,true,"[]"
5971,"CHOPE 30 CL TROPEZ",350,,2028904812947,VERRE,7.08,8.50,18,true,true,"[]"
5972,"CHOPE 50 CL TROPEZ",351,,2076868048131,VERRE,8.33,10.00,-4,true,true,"[]"
5973,"PINTE TROPEZ",360,,2031649366224,VERRE,7.08,8.50,15,true,true,"[]"
5974,"TL CLEAR TROPEZ",370,,2063915161554,VERRE,5.42,6.50,0,true,true,"[]"
5975,"BOLS TROPEZ",380,,2092394770773,VERRE,5.42,6.50,1,true,true,"[]"
5976,"CARAFE 150 CL LOGO TROPEZ",390,,2007284185506,VERRE,16.67,20.00,4,true,true,"[]"
5977,"VERRE BULLE",400,,2059339341559,VERRE,10.00,12.00,85,true,true,"[]"
5978,"CLUBHOUSE",410,,2059994557470,VERRE,7.08,8.50,0,true,true,"[]"
5979,"VERRE SERIG NOIR BLONDE",420,,2091201910043,VERRE,8.33,10.00,0,true,true,"[]"
5980,"VERRE SERIG BLANC BLONDE",421,,2000865513637,VERRE,8.33,10.00,0,true,true,"[]"
5981,"ABSOLU VERRE 38 CL",430,,2055225476183,VERRE,8.33,10.00,0,true,true,"[]"
5982,"CRAFT VERRE 44 CL",440,,2092783126501,VERRE,8.33,10.00,-4,true,true,"[]"
5983,"FLUTE PREMIUM VERRE 28 CL",450,,2006231465616,VERRE,8.33,10.00,12,true,true,"[]"
5984,"MARES",460,,2052435486612,VERRE,18.33,22.00,0,true,true,"[]"
5985,"SHOOTER MARES",470,,2075550696131,VERRE,13.33,16.00,0,true,true,"[]"
5987,"SEAU 1BT VELA TROPEZ",500,,2059368907979,VASQUE ET SEAU,29.17,35.00,-3,true,true,"[]"
5988,"SEAU 1BT VELA MAXIME",501,,2069999958431,VASQUE ET SEAU,29.17,35.00,0,true,true,"[]"
5989,"SEAU 1BT VELA PORT GRIMAUD",502,,2078251304152,VASQUE ET SEAU,29.17,35.00,0,true,true,"[]"
5990,"SEAU 1BT VELA CAVALAIRE",503,,2033964302123,VASQUE ET SEAU,29.17,35.00,0,true,true,"[]"
5991,"SEAU 2BT VELA TROPEZ",510,,2058063111575,VASQUE ET SEAU,32.50,39.00,4,true,true,"[]"
5992,"SEAU 2BT VELA CLEAR TROPEZ",511,,2074841112626,VASQUE ET SEAU,32.50,39.00,9,true,true,"[]"
5993,"SEAU NICE TROPEZ",520,,2022004583073,VASQUE ET SEAU,32.50,39.00,-56,true,true,"[]"
5994,"SEAU NICE  UNI",521,,2044090936571,VASQUE ET SEAU,32.50,39.00,3,true,true,"[]"
5995,"SEAU NICE CLEAR TROPEZ",530,,2071145145268,VASQUE ET SEAU,32.50,39.00,15,true,true,"[]"
5996,"SEAU NICE CLEAR UNI",531,,2030416409928,VASQUE ET SEAU,32.50,39.00,0,true,true,"[]"
5997,"SOBAG  TROPEZ",540,,2065627826479,VASQUE ET SEAU,32.50,39.00,6,true,true,"[]"
5998,"SOBAG  MAXIME",541,,2015840102348,VASQUE ET SEAU,32.50,39.00,0,true,true,"[]"
5999,"SOBAG  PORT GRIMAUD",542,,2000255278559,VASQUE ET SEAU,32.50,39.00,0,true,true,"[]"
6000,"SOBAG CLEAR TROPEZ",550,,2082766996092,VASQUE ET SEAU,32.50,39.00,21,true,true,"[]"
6001,"SOBAG CLEAR MAXIME",551,,2059356443953,VASQUE ET SEAU,32.50,39.00,0,true,true,"[]"
6002,"SOBAG CLEAR PORT GRIMAUD",552,,2063662465318,VASQUE ET SEAU,32.50,39.00,-1,true,true,"[]"
6003,"SOBAG NOIR TROPEZ",560,,2088403634235,VASQUE ET SEAU,32.50,39.00,8,true,true,"[]"
6004,"SEAU BULLE TROPEZ",570,,2029544911656,VASQUE ET SEAU,49.17,59.00,-1,true,true,"[]"
6005,"SEAU BULLE UNI",571,,2005790585094,VASQUE ET SEAU,45.83,55.00,0,true,true,"[]"
6006,"SEAU ANSE TROPEZ",580,,2067117450225,VASQUE ET SEAU,29.17,35.00,0,true,true,"[]"
6007,"SEAU ANSE FETE",585,,2084847399648,VASQUE ET SEAU,32.50,39.00,6,true,true,"[]"
6008,"SEAU GLACON",590,,2000560770649,VASQUE ET SEAU,37.50,45.00,10,true,true,"[]"
